Nota
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Bom
Bom
Sem Nota
Bom
Insuficiente
Bom
Bom
Bom
Bom
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Bom
Suficiente
Insuficiente
Bom
Bom
Bom
Bom
Bom
Bom
Insuficiente
Bom
Insuficiente
Suficiente
Insuficiente
Bom
Bom
Suficiente
Suficiente
Suficiente
Bom
Suficiente
Bom
Insuficiente
Suficiente
Suficiente
Suficiente
Insuficiente
Suficiente
Suficiente
Suficiente
Insuficiente
Excelente
Suficiente
Insuficiente
Suficiente
Insuficiente
Bom
Bom
Suficiente
Bom
Suficiente
Suficiente
Bom
Insuficiente
Bom
Suficiente
Bom
Suficiente
Excelente
Suficiente
Excelente
Bom
Excelente
Bom
Bom
Bom
Bom
Suficiente
Bom
Insuficiente
Suficiente
Insuficiente
Bom
Suficiente
Suficiente
Bom
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Insuficiente
Suficiente
Suficiente
Bom
Bom
Suficiente
Bom
Bom
Suficiente
Suficiente
Suficiente
Bom
Bom
Suficiente
Suficiente
Suficiente
Bom
Suficiente
Suficiente
Suficiente
Insuficiente
Insuficiente
Suficiente
Suficiente
Bom
Suficiente
Insuficiente
Bom
Suficiente
Bom
Excelente
Bom
Bom
Suficiente
Suficiente
Insuficiente
Bom
Bom
Suficiente
Bom
Suficiente
Bom
Bom
Suficiente
Suficiente
Suficiente
Bom
Suficiente
Bom
Bom
Bom
Suficiente
Suficiente
Bom
Bom
Bom
Insuficiente
Suficiente
Insuficiente
Bom
Bom
Bom
Bom
Bom
Suficiente
Insuficiente
Suficiente
Bom
Suficiente
Insuficiente
Suficiente
Suficiente
Excelente
Bom
Insuficiente
Bom
Bom
Insuficiente
Bom
Bom
Suficiente
Suficiente
Bom
Suficiente
Insuficiente
Bom
Suficiente
Suficiente
Suficiente
Bom
Bom
Suficiente
Bom
Suficiente
Bom
Insuficiente
Insuficiente
Bom
Bom
Bom
Bom
Insuficiente
Suficiente
Suficiente
Suficiente
Suficiente
Suficiente
Bom
Bom
Bom
Suficiente
Insuficiente
Bom
